127.0.0.1 - - [04/Apr/2019:16:37:54 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Apr/2019:16:37:56 +0900] "GET /guestbook/ HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [04/Apr/2019:16:37:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Apr/2019:16:38:09 +0900] "POST /guestbook/write.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:16:38:09 +0900] "GET /guestbook/index.jsp HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:10:09 +0900] "GET /guestbook/ HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:10:34 +0900] "GET /guestbook/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:10:34 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:10:51 +0900] "POST /guestbook/write.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:10:51 +0900] "GET /guestbook/index.jsp HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:10:53 +0900] "POST /guestbook/deleteform.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:11:12 +0900] "POST /guestbook/deleteform.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:11:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:11:15 +0900] "POST /guestbook/delete.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:11:15 +0900] "GET /guestbook/index.jsp HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:11:17 +0900] "POST /guestbook/deleteform.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:11:20 +0900] "POST /guestbook/delete.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:17:11:20 +0900] "GET /guestbook/index.jsp HTTP/1.1" 200 1196
